item_id,recommended_item,cosine_similarity
CA101,SI101,5.666666666666667
CA101,DR101,4.333333333333333
CA101,FA101,3.3333333333333335
CA102,SI102,3.6666666666666665
CA102,DR102,3.3333333333333335
CA102,FA102,3.0
CA103,SI103,5.333333333333333
CA103,FA103,4.0
CA103,DR103,3.0
DO101,KN101,3.6666666666666665
DO101,LO101,3.6666666666666665
DO101,HI101,2.3333333333333335
DO102,KN102,5.0
DO102,HI102,3.3333333333333335
DO102,LO102,2.3333333333333335
DO103,KN103,3.3333333333333335
DO103,HI103,3.0
DO103,LO103,3.0
DR101,CA101,4.333333333333333
DR101,SI101,3.3333333333333335
DR101,FA101,1.0
DR102,CA102,3.3333333333333335
DR102,SI102,2.3333333333333335
DR102,FA102,0.6666666666666666
DR103,SI103,4.0
DR103,CA103,3.0
DR103,FA103,1.0
FA101,SI101,4.333333333333333
FA101,CA101,3.3333333333333335
FA101,DR101,1.0
FA102,CA102,3.0
FA102,SI102,2.3333333333333335
FA102,DR102,0.6666666666666666
FA103,CA103,4.0
FA103,SI103,3.6666666666666665
FA103,DR103,1.0
FR101,SC101,3.6666666666666665
FR101,WI101,3.3333333333333335
FR101,HA101,0.3333333333333333
FR102,SC102,3.0
FR102,WI102,2.3333333333333335
FR102,HA102,1.3333333333333333
FR103,SC103,3.0
FR103,WI103,3.0
FR103,HA103,1.0
HA101,WI101,2.3333333333333335
HA101,SC101,2.0
HA101,FR101,0.3333333333333333
HA102,SC102,3.6666666666666665
HA102,WI102,2.0
HA102,FR102,1.3333333333333333
HA103,SC103,4.333333333333333
HA103,WI103,2.6666666666666665
HA103,FR103,1.0
HI101,KN101,3.0
HI101,DO101,2.3333333333333335
HI101,LO101,1.0
HI102,DO102,3.3333333333333335
HI102,KN102,2.6666666666666665
HI102,LO102,0.6666666666666666
HI103,DO103,3.0
HI103,KN103,3.0
HI103,LO103,1.3333333333333333
KN101,DO101,3.6666666666666665
KN101,HI101,3.0
KN101,LO101,2.6666666666666665
KN102,DO102,5.0
KN102,HI102,2.6666666666666665
KN102,LO102,2.6666666666666665
KN103,DO103,3.3333333333333335
KN103,LO103,3.3333333333333335
KN103,HI103,3.0
LO101,DO101,3.6666666666666665
LO101,KN101,2.6666666666666665
LO101,HI101,1.0
LO102,KN102,2.6666666666666665
LO102,DO102,2.3333333333333335
LO102,HI102,0.6666666666666666
LO103,KN103,3.3333333333333335
LO103,DO103,3.0
LO103,HI103,1.3333333333333333
SC101,WI101,4.666666666666667
SC101,FR101,3.6666666666666665
SC101,HA101,2.0
SC102,HA102,3.6666666666666665
SC102,FR102,3.0
SC102,WI102,2.3333333333333335
SC103,WI103,5.0
SC103,HA103,4.333333333333333
SC103,FR103,3.0
SI101,CA101,5.666666666666667
SI101,FA101,4.333333333333333
SI101,DR101,3.3333333333333335
SI102,CA102,3.6666666666666665
SI102,DR102,2.3333333333333335
SI102,FA102,2.3333333333333335
SI103,CA103,5.333333333333333
SI103,DR103,4.0
SI103,FA103,3.6666666666666665
WI101,SC101,4.666666666666667
WI101,FR101,3.3333333333333335
WI101,HA101,2.3333333333333335
WI102,FR102,2.3333333333333335
WI102,SC102,2.3333333333333335
WI102,HA102,2.0
WI103,SC103,5.0
WI103,FR103,3.0
WI103,HA103,2.6666666666666665
